std.printf(),java.util.hashmap.put()
std.fprintf(),java.util.hashmap.get()
std.freopen(),java.nio.channels.selectionkey.interestops()
std.strcmp(),java.util.arraylist.clear()
std.memset(),java.util.hashset.add()
std.strlen(),java.util.arraylist.add()
std.size(),java.util.regex.pattern.compile()
std.memcpy(),java.util.hashset.add()
std.exit(),java.util.hashmap.clear()
std.sprintf(),java.util.hashmap.keyset()
std.system(),java.lang.reflect.field.gettype()
std.string.c_str(),java.sql.resultset.getint()
std.atoi(),java.util.arraylist.clear()
std.fclose(),java.util.hashmap.get()
std.strcpy(),java.util.arraylist.add()
std.fopen(),java.util.hashmap.remove()
std.bind(),javax.swing.jcheckbox.sethorizontaltextposition()
std.snprintf(),java.util.collections.reverseorder()
std.string.size(),java.sql.resultset.getstring()
std.sscanf(),java.util.arraylist.iterator()
std.strstr(),java.util.arraylist.iterator()
std.next(),java.io.bufferedinputstream.skip()
std.end(),java.util.regex.pattern.compile()
std.mem_fn(),java.beans.beancontext.beancontextchildsupport.addvetoablechangelistener()
std.strncmp(),java.util.arraylist.addall()
std.begin(),java.util.regex.pattern.compile()
std.tie(),java.util.logging.logger.setparent()
std.strcat(),java.util.arraylist.contains()
std.time(),java.util.hashmap.keyset()
std.string.substr(),java.sql.resultset.getlong()
std.calloc(),java.util.arraylist.addall()
std.vector(),junit.textui.testrunner.setprinter()
std.strncpy(),java.util.arraylist.add()
std.string.length(),java.sql.resultset.getint()
std.strchr(),java.util.arraylist.iterator()
std.find(),java.sql.resultsetmetadata.gettablename()
std.floor(),java.util.vector.get()
std.string.find(),java.sql.resultset.getstring()
std.va_start(),java.util.hashmap.get()
std.va_end(),java.util.hashmap.get()
std.showbase(),java.io.bytearrayoutputstream.close()
std.fflush(),java.util.hashmap.get()
std.strerror(),java.util.hashmap.get()
std.isdigit(),java.util.treemap.entryset()
std.fseek(),java.util.hashmap.containskey()
std.string.empty(),java.sql.resultset.close()
std.size_t(),java.util.collections.singleton()
std.rotate(),java.awt.graphics.drawarc()
std.int32_t(),java.util.calendar.gettimeinmillis()
std.ref(),javax.swing.jcombobox.addactionlistener()
std.string.begin(),java.sql.resultset.getint()
std.real(),java.io.datainput.readint()
std.strtol(),java.util.arraylist.isempty()
std.strrchr(),java.util.arraylist.size()
std.any(),java.lang.long.lowestonebit()
std.string.erase(),java.sql.resultset.next()
std.clamp(),java.util.vector.size()
std.path(),junit.framework.testsuite.addtest()
std.equal(),java.awt.event.mouseevent.getpoint()
std.string.append(),java.sql.resultset.close()
std.string.find_last_of(),java.sql.resultset.getlong()
std.string.end(),java.sql.resultset.getint()
std.signal(),java.util.hashmap.get()
std.perror(),java.util.hashmap.get()
std.lower_bound(),java.util.regex.pattern.matcher()
std.ftell(),java.util.hashmap.containskey()
std.left(),java.io.objectoutputstream.flush()
std.string.reserve(),java.sql.preparedstatement.executequery()
std.memmove(),java.util.hashset.add()
std.noshowbase(),java.io.objectinputstream.close()
std.string.capacity(),java.sql.connection.preparestatement()
std.bool(),javax.swing.jcombobox.getselecteditem()
std.tolower(),java.util.arraylist.size()
std.random_shuffle(),java.lang.reflect.field.getgenerictype()
std.imag(),java.io.datainput.readint()
std.acos(),java.util.vector.get()
std.strftime(),java.util.hashmap.keyset()
std.uint16_t(),java.util.calendar.gettimeinmillis()
std.string.find_first_of(),java.sql.resultset.getlong()
std.for_each(),java.lang.reflect.method.getname()
std.string.data(),java.sql.statement.executequery()
std.vsnprintf(),java.util.hashmap.put()
std.lcm(),javax.swing.jbutton.setopaque()
std.isnan(),java.util.arrays.fill()
std.fputs(),java.util.hashmap.get()
std.hex(),java.io.objectoutputstream.close()
std.vsprintf(),java.util.hashmap.get()
std.string.resize(),java.sql.resultset.close()
