java.util.list.add(),system.collections.generic.list.add()
java.util.linkedlist.add(),system.collections.immutable.immutablehashset.add()
java.util.list.get(),system.collections.generic.list.get()
java.util.arraylist.add(),system.collections.arraylist.add()
java.util.set.add(),system.data.common.utils.set.add()
java.lang.stringbuilder.append(),system.text.stringbuilder.append()
java.lang.stringbuilder.append(),system.text.stringbuilder.appendline()
java.lang.stringbuilder.append(),system.text.stringbuilder.appendjoin()
java.lang.stringbuilder.append(),system.stringbuilder.append()
java.io.file.exists(),system.io.file.exists()
java.io.file.exists(),system.io.directory.exists()
java.lang.string.equals(),system.string.equals()
java.lang.string.equals(),system.collections.arraylist.equals()
java.util.collection.add(),system.collections.objectmodel.collection.add()
java.util.collection.add(),system.activities.activityutilities.add()
java.util.map.containskey(),system.collections.generic.dictionary.containskey()
java.util.map.containskey(),system.collections.generic.dictionary.containsvalue()
java.util.map.containskey(),system.collections.generic.list.contains()
java.util.list.contains(),system.collections.generic.list.contains()
java.util.set.contains(),system.data.common.utils.set.contains()
java.util.list.toarray(),system.collections.generic.list.toarray()
java.util.list.addall(),system.collections.generic.list.add()
java.util.map.entryset(),system.data.common.utils.set.intersect()
java.io.outputstream.write(),system.console.write()
java.io.outputstream.write(),system.servicemodel.description.metadataset.writeto()
java.util.random.nextint(),system.random.next()
java.util.list.remove(),system.collections.generic.list.remove()
java.util.list.remove(),system.collections.generic.list.removeat()
java.util.list.remove(),system.collections.generic.list.removeall()
java.util.list.remove(),system.collections.generic.dictionary.remove()
java.util.list.remove(),system.collections.generic.idictionary.remove()
java.util.map.remove(),system.collections.generic.dictionary.remove()
java.util.map.remove(),system.collections.generic.linkedlist.remove()
java.util.map.remove(),system.collections.generic.linkedlist.removelast()
java.util.map.remove(),system.collections.generic.list.remove()
java.util.map.remove(),system.collections.generic.hashset.remove()
java.util.map.remove(),system.componentmodel.design.designerverbcollection.remove()
java.util.map.remove(),system.collections.concurrent.concurrentdictionary.tryremove()
java.util.map.remove(),system.collections.hashtable.remove()
java.util.map.remove(),system.collections.generic.idictionary.remove()
java.io.inputstream.read(),system.io.stream.read()
java.io.inputstream.read(),system.io.stream.endread()
java.util.stringtokenizer.nexttoken(),system.util.stringtokenizer.nexttoken()
java.util.arrays.equals(),nunit.framework.collectionassert.areequal()
java.io.inputstream.close(),system.xml.xmlwriter.close()
java.io.inputstream.close(),system.xml.xmlreader.close()
java.io.file.delete(),system.io.file.delete()
java.util.collections.sort(),system.collections.generic.list.sort()
java.util.list.clear(),system.collections.generic.list.clear()
java.util.list.clear(),system.collections.generic.dictionary.clear()
java.util.list.clear(),system.collections.generic.hashset.clear()
java.util.list.clear(),system.collections.generic.queue.clear()
java.lang.stringbuffer.tostring(),system.string.substring()
java.lang.stringbuffer.tostring(),system.string.tostring()
java.lang.stringbuffer.tostring(),system.single.tostring()
java.util.arraylist.toarray(),system.collections.arraylist.toarray()
org.w3c.dom.element.getattribute(),system.xml.xmltextreader.getattribute()
java.lang.string.substring(),system.string.substring()
java.lang.string.substring(),system.object.tostring()
java.util.vector.get(),system.numerics.vector.get()
java.util.hashset.add(),system.collections.generic.hashset.add()
java.util.hashset.add(),system.collections.generic.iset.add()
java.util.hashset.add(),system.collections.concurrent.concurrentbag.add()
java.io.file.getpath(),system.io.path.gettemppath()
java.awt.list.add(),system.collections.generic.list.add()
java.util.map.clear(),system.collections.generic.dictionary.clear()
java.util.map.clear(),system.collections.generic.list.clear()
java.util.map.clear(),system.collections.generic.hashset.clear()
java.util.map.clear(),system.collections.concurrent.concurrentdictionary.clear()
java.util.map.clear(),system.collections.generic.linkedlist.clear()
java.util.map.clear(),system.collections.generic.sortedlist.clear()
java.util.map.clear(),system.collections.idictionary.clear()
java.util.map.clear(),system.collections.hashtable.clear()
java.util.map.clear(),system.collections.generic.stack.clear()
java.lang.string.trim(),system.string.trim()
java.lang.string.trim(),system.string.trimend()
java.awt.graphics.setcolor(),system.drawing.graphics.setcolor()
java.io.stringwriter.tostring(),system.io.stringwriter.tostring()
org.w3c.dom.element.setattribute(),system.xml.xmlelement.attributes()
org.w3c.dom.element.setattribute(),system.reflection.metadata.methoddefinition.customattributes()
java.lang.stringbuilder.tostring(),system.text.stringbuilder.tostring()
java.util.set.addall(),system.linq.set.add()
java.util.stringtokenizer.hasmoretokens(),system.util.stringtokenizer.hasmoretokens()
junit.framework.assert.fail(),system.diagnostics.assert.fail()
java.util.set.remove(),system.linq.set.remove()
